"GEO_ID","NAME","B01003_001M","B01003_001E",
"Geography","Geographic Area Name","Margin of Error!!Total","Estimate!!Total",
"1600000US0169120","Selma city, Alabama","36","20591",
"1600000US0169180","Selmont-West Selmont CDP, Alabama","595","3316",
"1600000US0169648","Sheffield city, Alabama","30","9141",
"1600000US0169672","Shelby CDP, Alabama","381","1467",
"1600000US0169840","Shiloh town, Alabama","81","297",
"1600000US0169978","Shoal Creek CDP, Alabama","265","928",
"1600000US0170128","Shorter town, Alabama","148","452",
"1600000US0170416","Silas town, Alabama","171","517",
"1600000US0170536","Silverhill town, Alabama","196","632",
"1600000US0170632","Sims Chapel CDP, Alabama","103","108",
"1600000US0170704","Sipsey town, Alabama","181","600",
"1600000US0170896","Skyline town, Alabama","276","970",
"1600000US0171040","Slocomb city, Alabama","452","2965",
"1600000US0171190","Smiths Station city, Alabama","38","5001",
"1600000US0171201","Smoke Rise CDP, Alabama","519","2348",
"1600000US0171280","Snead town, Alabama","313","1204",
"1600000US0171496","Somerville town, Alabama","245","847",
"1600000US0171832","Southside city, Alabama","261","8340",
"1600000US0171900","South Vinemont town, Alabama","211","540",
"1600000US0171976","Spanish Fort city, Alabama","32","6624",
"1600000US0172408","Spring Garden CDP, Alabama","166","377",
"1600000US0172600","Springville city, Alabama","30","3872",
"1600000US0172672","Spruce Pine CDP, Alabama","142","201",
"1600000US0172720","Standing Rock CDP, Alabama","54","66",
"1600000US0172888","Steele town, Alabama","282","1059",
"1600000US0173056","Sterrett CDP, Alabama","237","772",
"1600000US0173080","Stevenson city, Alabama","464","2637",
"1600000US0173152","Stewartville CDP, Alabama","364","2067",
"1600000US0173728","Sulligent city, Alabama","371","1703",
"1600000US0173848","Sumiton city, Alabama","20","2531",
"1600000US0173872","Summerdale town, Alabama","196","698",
"1600000US0174160","Susan Moore town, Alabama","200","827",
"1600000US0174304","Sweet Water town, Alabama","163","409",
"1600000US0174352","Sylacauga city, Alabama","49","12789",
"1600000US0174400","Sylvania town, Alabama","308","1339",
"1600000US0174424","Sylvan Springs town, Alabama","257","1664",
"1600000US0174592","Talladega city, Alabama","27","15993",
"1600000US0174616","Talladega Springs town, Alabama","56","130",
